images/speed/Dustin/4k/30_Arm/
z:10.7	MSE:168.52
z:35.4	MSE:428.16
z:3.8	MSE:50.55
z:16.5	MSE:292.75
z:4.3	MSE:53.83
z:8.4	MSE:64.86
z:15.5	MSE:263.36
z:4.3	MSE:46.32
z:2.5	MSE:21.86
z:8.7	MSE:74.99
z:7.9	MSE:120.80
z:6.4	MSE:84.14
z:4.9	MSE:28.96
z:1.4	MSE:11.34
z:3.2	MSE:36.00
z:14.5	MSE:289.45
z:1.7	MSE:21.87
z:9.5	MSE:174.34
z:3.0	MSE:32.53
z:11.7	MSE:173.12
z:11.7	MSE:164.53
z:8.7	MSE:129.86
z:15.3	MSE:289.51
z:2.2	MSE:26.95
z:20.0	MSE:353.48
z:6.7	MSE:120.62
z:1.3	MSE:12.78
z:3.3	MSE:38.30
z:8.0	MSE:151.82
z:2.8	MSE:23.19
images/speed/Dustin/1080/120/Arm/
z:0.4	MSE:8.26
z:0.7	MSE:14.23
z:1.0	MSE:14.93
z:1.5	MSE:23.45
z:2.2	MSE:51.14
z:2.7	MSE:79.57
z:3.1	MSE:105.23
z:3.2	MSE:102.68
z:3.2	MSE:99.87
z:3.5	MSE:118.70
z:3.2	MSE:100.73
z:2.8	MSE:70.52
z:2.4	MSE:44.33
z:1.9	MSE:33.94
z:1.8	MSE:53.45
z:2.1	MSE:82.95
z:2.2	MSE:93.34
z:2.3	MSE:100.18
z:2.3	MSE:98.71
z:1.8	MSE:69.14
z:1.6	MSE:57.87
z:1.7	MSE:63.00
z:1.4	MSE:43.98
z:1.1	MSE:28.07
z:0.5	MSE:6.91
z:0.4	MSE:5.33
z:0.3	MSE:4.63
z:0.3	MSE:5.32
z:0.8	MSE:13.60
z:1.1	MSE:17.93
z:1.2	MSE:18.17
z:1.4	MSE:23.80
z:1.5	MSE:30.80
z:1.8	MSE:44.99
z:2.1	MSE:65.69
z:2.5	MSE:84.44
z:2.5	MSE:90.89
z:2.1	MSE:74.26
z:1.6	MSE:44.05
z:0.8	MSE:11.62
z:0.6	MSE:8.32
z:0.9	MSE:14.76
z:1.1	MSE:18.25
z:1.3	MSE:27.86
z:1.5	MSE:40.76
z:1.2	MSE:28.36
z:0.7	MSE:9.66
z:0.7	MSE:11.46
z:1.0	MSE:23.08
z:0.6	MSE:11.08
z:0.1	MSE:3.36
z:0.4	MSE:3.85
z:0.3	MSE:3.99
z:0.3	MSE:4.20
z:0.5	MSE:8.17
z:0.6	MSE:10.89
z:0.6	MSE:13.60
z:0.7	MSE:14.60
z:0.3	MSE:5.62
z:0.8	MSE:12.55
z:1.3	MSE:29.34
z:1.1	MSE:23.25
z:0.8	MSE:13.97
z:0.5	MSE:5.99
z:0.3	MSE:3.33
z:0.3	MSE:5.91
z:0.6	MSE:12.24
z:0.8	MSE:19.96
z:1.3	MSE:37.66
z:1.6	MSE:56.22
z:1.5	MSE:48.38
z:1.2	MSE:34.35
z:0.8	MSE:16.09
z:0.3	MSE:5.52
z:0.2	MSE:3.45
z:0.4	MSE:5.62
z:0.5	MSE:8.81
z:0.3	MSE:6.07
z:0.3	MSE:5.52
z:0.4	MSE:7.19
z:0.8	MSE:15.58
z:1.1	MSE:28.06
z:1.1	MSE:28.10
z:0.8	MSE:16.85
z:0.4	MSE:6.47
z:0.3	MSE:4.25
z:0.7	MSE:10.83
z:0.7	MSE:12.33
z:0.4	MSE:6.98
z:0.2	MSE:3.25
z:0.2	MSE:3.19
z:0.3	MSE:5.03
z:0.9	MSE:19.54
z:1.2	MSE:31.09
z:1.3	MSE:33.23
z:1.2	MSE:23.20
z:0.8	MSE:11.32
z:0.4	MSE:4.40
z:0.3	MSE:4.53
z:0.3	MSE:4.73
z:0.1	MSE:3.14
z:0.1	MSE:2.93
z:0.1	MSE:2.79
z:0.1	MSE:1.99
z:0.3	MSE:4.84
z:0.6	MSE:9.96
z:0.4	MSE:5.06
z:0.2	MSE:3.05
z:0.4	MSE:7.69
z:0.5	MSE:7.75
z:0.1	MSE:3.30
z:0.4	MSE:5.69
z:0.6	MSE:8.73
z:0.4	MSE:6.43
z:0.1	MSE:3.23
z:0.1	MSE:2.04
z:0.2	MSE:3.97
z:0.2	MSE:3.21
z:0.7	MSE:13.45
z:1.2	MSE:27.62

images/speed/Dustin/720/240_Arm/
z:1.3	MSE:20.18
z:0.7	MSE:9.65
z:0.9	MSE:12.15
z:0.5	MSE:6.90
z:1.0	MSE:12.19
z:0.6	MSE:7.15
z:0.9	MSE:11.20
z:0.5	MSE:5.34
z:0.6	MSE:7.06
z:0.3	MSE:3.86
z:0.3	MSE:4.19
z:0.5	MSE:5.07
z:0.5	MSE:4.89
z:0.8	MSE:6.86
z:0.6	MSE:5.44
z:0.7	MSE:4.73
z:0.5	MSE:4.40
z:0.6	MSE:4.59
z:0.5	MSE:4.74
z:0.5	MSE:4.70
z:0.5	MSE:5.12
z:0.6	MSE:5.09
z:0.4	MSE:4.69
z:0.6	MSE:4.09
z:0.4	MSE:4.10
z:0.5	MSE:4.21
z:0.3	MSE:4.26
z:0.5	MSE:4.59
z:0.2	MSE:4.31
z:0.2	MSE:3.99
z:0.1	MSE:4.02
z:0.1	MSE:3.21
z:0.1	MSE:3.71
z:0.2	MSE:4.09
z:0.2	MSE:4.21
z:0.1	MSE:4.23
z:0.3	MSE:4.21
z:0.1	MSE:4.15
z:0.2	MSE:4.22
z:0.2	MSE:3.61
z:0.1	MSE:3.93
z:0.3	MSE:4.83
z:0.2	MSE:4.68
z:0.5	MSE:6.00
z:0.3	MSE:4.69
z:0.5	MSE:6.78
z:0.4	MSE:5.18
z:0.5	MSE:5.70
z:0.2	MSE:4.54
z:0.4	MSE:5.17
z:0.1	MSE:4.02
z:0.1	MSE:4.07
z:0.3	MSE:4.54
z:0.1	MSE:4.04
z:0.4	MSE:5.30
z:0.1	MSE:3.30
z:0.4	MSE:5.14
z:0.1	MSE:3.98
z:0.5	MSE:5.74
z:0.1	MSE:4.01
z:0.3	MSE:4.66
z:0.2	MSE:4.09
z:0.2	MSE:4.36
z:0.2	MSE:3.52
z:0.2	MSE:4.15
z:0.2	MSE:4.08
z:0.3	MSE:4.59
z:0.3	MSE:4.05
z:0.3	MSE:4.48
z:0.3	MSE:4.24
z:0.0	MSE:3.93
z:0.4	MSE:4.85
z:0.2	MSE:3.99
z:0.4	MSE:5.19
z:0.2	MSE:4.02
z:0.3	MSE:4.45
z:0.2	MSE:4.07
z:0.3	MSE:5.08
z:0.2	MSE:4.13
z:0.3	MSE:4.08
z:0.2	MSE:3.93
z:0.5	MSE:5.07
z:0.3	MSE:4.17
z:0.6	MSE:5.83
z:0.4	MSE:4.32
z:0.6	MSE:6.12
z:0.4	MSE:4.50
z:0.5	MSE:5.28
z:0.2	MSE:3.85
z:0.3	MSE:4.54
z:0.2	MSE:3.93
z:0.1	MSE:3.85
z:0.4	MSE:4.94
z:0.1	MSE:3.93
z:0.4	MSE:5.25
z:0.1	MSE:3.39
z:0.4	MSE:5.71
z:0.2	MSE:4.36
z:0.5	MSE:6.53
z:0.5	MSE:4.87
z:0.7	MSE:8.42
z:0.5	MSE:5.41
z:0.7	MSE:7.39
z:0.3	MSE:4.01
z:0.6	MSE:6.30
z:0.3	MSE:4.38
z:0.4	MSE:5.27
z:0.2	MSE:4.27
z:0.2	MSE:4.71
z:0.2	MSE:4.48
z:0.2	MSE:4.36
z:0.3	MSE:3.70
z:0.3	MSE:4.53
z:0.2	MSE:4.22
z:0.2	MSE:4.14
z:0.3	MSE:4.85
z:0.1	MSE:4.19
z:0.5	MSE:6.66
z:0.4	MSE:5.13
z:0.6	MSE:6.29
z:0.1	MSE:4.09
z:0.2	MSE:4.38
z:0.4	MSE:5.26
z:0.3	MSE:4.60
z:0.6	MSE:7.41
z:0.3	MSE:5.00
z:0.5	MSE:6.46
z:0.3	MSE:3.70
z:0.4	MSE:4.44
z:0.4	MSE:4.76
z:0.5	MSE:4.43
z:0.5	MSE:4.81
z:0.4	MSE:4.47
z:0.6	MSE:5.06
z:0.4	MSE:4.37
z:0.4	MSE:4.23
z:0.3	MSE:4.28
z:0.4	MSE:4.94
z:0.3	MSE:4.34
z:0.7	MSE:7.22
z:0.4	MSE:5.10
z:0.3	MSE:5.19
z:0.1	MSE:4.33
z:0.1	MSE:3.49
z:0.2	MSE:4.16
z:0.3	MSE:4.12
z:0.2	MSE:4.32
z:0.2	MSE:4.22
z:0.2	MSE:4.16
z:0.1	MSE:4.24
z:0.1	MSE:4.09
z:0.2	MSE:3.51
z:0.4	MSE:5.01
z:0.4	MSE:5.04
z:0.6	MSE:6.45
z:0.5	MSE:5.69
z:0.5	MSE:6.15
z:0.4	MSE:4.68
z:0.1	MSE:4.26
z:0.2	MSE:4.08
z:0.2	MSE:4.24
z:0.2	MSE:4.62
z:0.1	MSE:4.14
z:0.2	MSE:4.21
z:0.2	MSE:4.37
z:0.1	MSE:4.28
z:0.1	MSE:4.16
z:0.3	MSE:4.19
z:0.2	MSE:4.29
z:0.3	MSE:4.87
z:0.2	MSE:4.42
z:0.2	MSE:4.40
z:0.2	MSE:4.44
z:0.1	MSE:4.43
z:0.2	MSE:4.36
z:0.2	MSE:3.60
z:0.2	MSE:4.22
z:0.2	MSE:4.48
z:0.2	MSE:4.53
z:0.2	MSE:4.65
z:0.2	MSE:4.60
z:0.4	MSE:5.29
z:0.4	MSE:5.07
z:0.5	MSE:5.02
z:0.5	MSE:5.45
z:0.5	MSE:5.64
z:0.5	MSE:5.52
z:0.7	MSE:6.60
z:0.6	MSE:5.66
z:0.6	MSE:5.73
z:0.5	MSE:5.25
z:0.4	MSE:4.00
z:0.2	MSE:4.09
z:0.2	MSE:4.07
z:0.1	MSE:3.95
z:0.1	MSE:4.02
z:0.2	MSE:4.30
z:0.3	MSE:4.69
z:0.4	MSE:5.37
z:0.5	MSE:5.19
z:0.6	MSE:6.88
z:0.6	MSE:6.42
z:0.6	MSE:6.32
z:0.5	MSE:5.75
z:0.4	MSE:5.10
z:0.2	MSE:4.45
z:0.2	MSE:4.42
z:0.2	MSE:3.69
z:0.2	MSE:4.32
z:0.3	MSE:4.94
z:0.5	MSE:6.51
z:0.6	MSE:7.29
z:0.4	MSE:5.80
z:0.2	MSE:4.68
z:0.1	MSE:4.23
